momentum_p,rho_p_initial,rho_p_final
-2.142798e+01,1.600295e-31,3.140347e-17
-2.134949e+01,2.670808e-31,2.969623e-17
-2.127100e+01,2.215971e-31,2.797736e-17
-2.119251e+01,2.678335e-31,2.626021e-17
-2.111401e+01,3.671318e-31,2.456056e-17
-2.103552e+01,3.562597e-31,2.288109e-17
-2.095703e+01,3.706050e-31,2.123992e-17
-2.087854e+01,2.438566e-31,1.964191e-17
-2.080005e+01,1.072636e-31,1.809581e-17
-2.072156e+01,7.748685e-32,1.661345e-17
-2.064307e+01,2.431544e-31,1.519487e-17
-2.056458e+01,8.605761e-31,1.385373e-17
-2.048609e+01,2.131835e-30,1.258707e-17
-2.040760e+01,4.436203e-30,1.140499e-17
-2.032911e+01,7.281354e-30,1.030494e-17
-2.025062e+01,1.031320e-29,9.291693e-18
-2.017213e+01,1.250097e-29,8.363381e-18
-2.009363e+01,1.386007e-29,7.520133e-18
-2.001514e+01,1.305359e-29,6.759839e-18
-1.993665e+01,1.049887e-29,6.079498e-18
-1.985816e+01,6.982463e-30,5.475717e-18
-1.977967e+01,3.565250e-30,4.943923e-18
-1.970118e+01,1.199965e-30,4.478883e-18
-1.962269e+01,2.313393e-31,4.075682e-18
-1.954420e+01,1.477726e-32,3.727120e-18
-1.946571e+01,1.729234e-31,3.429146e-18
-1.938722e+01,3.221520e-31,3.172794e-18
-1.930873e+01,4.910102e-31,2.955582e-18
-1.923024e+01,5.081114e-31,2.767933e-18
-1.915175e+01,5.730161e-31,2.608609e-18
-1.907325e+01,5.544002e-31,2.469777e-18
-1.899476e+01,4.090113e-31,2.350029e-18
-1.891627e+01,4.086232e-31,2.246301e-18
-1.883778e+01,4.281591e-31,2.155903e-18
-1.875929e+01,4.313711e-31,2.081661e-18
-1.868080e+01,3.754579e-31,2.021849e-18
-1.860231e+01,2.697105e-31,1.981976e-18
-1.852382e+01,1.887301e-31,1.966672e-18
-1.844533e+01,1.287098e-31,1.980764e-18
-1.836684e+01,3.563739e-31,2.035956e-18
-1.828835e+01,4.030302e-31,2.140821e-18
-1.820986e+01,2.498958e-31,2.307496e-18
-1.813137e+01,2.351729e-31,2.553300e-18
-1.805287e+01,1.499383e-31,2.892088e-18
-1.797438e+01,1.774439e-31,3.342242e-18
-1.789589e+01,1.507116e-31,3.926851e-18
-1.781740e+01,1.249212e-31,4.664824e-18
-1.773891e+01,1.436052e-31,5.578683e-18
-1.766042e+01,1.932727e-31,6.697397e-18
-1.758193e+01,1.919134e-31,8.043239e-18
-1.750344e+01,9.796328e-32,9.640650e-18
-1.742495e+01,1.156468e-31,1.152237e-17
-1.734646e+01,1.189747e-31,1.371356e-17
-1.726797e+01,1.036725e-31,1.623668e-17
-1.718948e+01,6.978940e-32,1.912412e-17
-1.711099e+01,1.035436e-31,2.240466e-17
-1.703249e+01,1.244251e-31,2.609465e-17
-1.695400e+01,9.613977e-32,3.022032e-17
-1.687551e+01,1.033782e-31,3.481137e-17
-1.679702e+01,1.058862e-31,3.988093e-17
-1.671853e+01,8.381762e-32,4.543921e-17
-1.664004e+01,4.203796e-32,5.151040e-17
-1.656155e+01,6.033182e-32,5.810855e-17
-1.648306e+01,1.236652e-31,6.522822e-17
-1.640457e+01,1.057061e-31,7.287194e-17
-1.632608e+01,1.105700e-31,8.105242e-17
-1.624759e+01,1.099484e-31,8.976115e-17
-1.616910e+01,1.275588e-31,9.897275e-17
-1.609061e+01,1.118130e-31,1.086773e-16
-1.601211e+01,9.751426e-32,1.188699e-16
-1.593362e+01,8.088585e-32,1.295175e-16
-1.585513e+01,1.169371e-31,1.405734e-16
-1.577664e+01,9.708820e-32,1.520110e-16
-1.569815e+01,6.484610e-32,1.638065e-16
-1.561966e+01,1.143956e-31,1.759050e-16
-1.554117e+01,1.266449e-31,1.882378e-16
-1.546268e+01,6.986331e-32,2.007600e-16
-1.538419e+01,3.649818e-32,2.134335e-16
-1.530570e+01,7.773242e-32,2.261874e-16
-1.522721e+01,7.477856e-32,2.389341e-16
-1.514872e+01,3.166623e-32,2.516122e-16
-1.507023e+01,9.626833e-32,2.641769e-16
-1.499174e+01,1.240058e-31,2.765522e-16
-1.491324e+01,5.058568e-32,2.886386e-16
-1.483475e+01,9.096412e-32,3.003640e-16
-1.475626e+01,9.262234e-32,3.116862e-16
-1.467777e+01,3.975253e-32,3.225383e-16
-1.459928e+01,1.284992e-31,3.328207e-16
-1.452079e+01,9.894870e-32,3.424591e-16
-1.444230e+01,5.689954e-32,3.514240e-16
-1.436381e+01,8.550681e-32,3.596728e-16
-1.428532e+01,8.023165e-32,3.671206e-16
-1.420683e+01,8.023086e-32,3.737011e-16
-1.412834e+01,7.060603e-32,3.794084e-16
-1.404985e+01,6.816844e-32,3.842364e-16
-1.397136e+01,7.686834e-32,3.881289e-16
-1.389286e+01,6.196678e-32,3.910396e-16
-1.381437e+01,9.681570e-32,3.929948e-16
-1.373588e+01,1.099321e-31,3.940342e-16
-1.365739e+01,8.934846e-32,3.941376e-16
-1.357890e+01,1.185264e-31,3.932881e-16
-1.350041e+01,8.721191e-32,3.915536e-16
-1.342192e+01,8.211056e-32,3.890203e-16
-1.334343e+01,1.018803e-31,3.857021e-16
-1.326494e+01,5.609971e-32,3.816168e-16
-1.318645e+01,1.015428e-31,3.768813e-16
-1.310796e+01,1.305576e-31,3.716185e-16
-1.302947e+01,5.947751e-32,3.658608e-16
-1.295098e+01,1.162722e-31,3.596661e-16
-1.287248e+01,9.064395e-32,3.532020e-16
-1.279399e+01,4.074626e-32,3.465976e-16
-1.271550e+01,1.016229e-31,3.398826e-16
-1.263701e+01,6.064746e-32,3.331686e-16
-1.255852e+01,5.564840e-32,3.266536e-16
-1.248003e+01,1.088521e-31,3.204134e-16
-1.240154e+01,8.952299e-32,3.144802e-16
-1.232305e+01,7.522400e-32,3.090362e-16
-1.224456e+01,1.244528e-31,3.042206e-16
-1.216607e+01,8.239943e-32,3.000163e-16
-1.208758e+01,1.570972e-31,2.965318e-16
-1.200909e+01,1.075124e-31,2.939356e-16
-1.193060e+01,6.560935e-32,2.921806e-16
-1.185210e+01,1.093561e-31,2.912865e-16
-1.177361e+01,1.527422e-31,2.914105e-16
-1.169512e+01,1.281412e-31,2.924631e-16
-1.161663e+01,9.154459e-32,2.943826e-16
-1.153814e+01,1.173636e-31,2.972916e-16
-1.145965e+01,9.875502e-32,3.010216e-16
-1.138116e+01,1.448512e-31,3.054541e-16
-1.130267e+01,1.119815e-31,3.106624e-16
-1.122418e+01,1.572246e-31,3.163543e-16
-1.114569e+01,1.644352e-31,3.224125e-16
-1.106720e+01,2.025910e-31,3.288159e-16
-1.098871e+01,2.221911e-31,3.351394e-16
-1.091022e+01,1.843345e-31,3.413554e-16
-1.083172e+01,1.289952e-31,3.472257e-16
-1.075323e+01,1.726181e-31,3.523314e-16
-1.067474e+01,1.240139e-31,3.567172e-16
-1.059625e+01,1.883942e-31,3.598308e-16
-1.051776e+01,2.185892e-31,3.615803e-16
-1.043927e+01,2.427848e-31,3.617229e-16
-1.036078e+01,2.019588e-31,3.597949e-16
-1.028229e+01,2.370133e-31,3.559143e-16
-1.020380e+01,1.908355e-31,3.494420e-16
-1.012531e+01,2.358687e-31,3.406080e-16
-1.004682e+01,1.577217e-31,3.289282e-16
-9.968326e+00,2.291683e-31,3.145406e-16
-9.889836e+00,2.563383e-31,2.973098e-16
-9.811345e+00,3.263673e-31,2.772688e-16
-9.732854e+00,3.922973e-31,2.546649e-16
-9.654363e+00,3.227546e-31,2.295464e-16
-9.575873e+00,2.870118e-31,2.025107e-16
-9.497382e+00,3.142702e-31,1.737859e-16
-9.418891e+00,2.853446e-31,1.442913e-16
-9.340400e+00,3.913997e-31,1.145996e-16
-9.261910e+00,4.980732e-31,8.595158e-17
-9.183419e+00,5.295903e-31,5.942111e-17
-9.104928e+00,5.872681e-31,3.660949e-17
-9.026437e+00,5.695630e-31,1.921694e-17
-8.947947e+00,5.834602e-31,9.327454e-18
-8.869456e+00,6.799168e-31,9.310478e-18
-8.790965e+00,7.407139e-31,2.196441e-17
-8.712474e+00,7.210286e-31,5.034729e-17
-8.633984e+00,1.017702e-30,9.810162e-17
-8.555493e+00,8.955347e-31,1.693282e-16
-8.477002e+00,1.594791e-30,2.681910e-16
-8.398511e+00,2.275614e-30,4.004531e-16
-8.320021e+00,4.109655e-30,5.709202e-16
-8.241530e+00,7.484585e-30,7.861744e-16
-8.163039e+00,1.392190e-29,1.053598e-15
-8.084548e+00,2.394316e-29,1.379248e-15
-8.006057e+00,3.534073e-29,1.772339e-15
-7.927567e+00,5.094342e-29,2.241991e-15
-7.849076e+00,6.420898e-29,2.795804e-15
-7.770585e+00,7.494133e-29,3.445256e-15
-7.692094e+00,8.457396e-29,4.202612e-15
-7.613604e+00,8.814384e-29,5.078233e-15
-7.535113e+00,8.726300e-29,6.086968e-15
-7.456622e+00,8.505989e-29,7.249867e-15
-7.378131e+00,7.698127e-29,8.591414e-15
-7.299641e+00,6.869853e-29,1.014776e-14
-7.221150e+00,5.533476e-29,1.199637e-14
-7.142659e+00,4.203505e-29,1.432174e-14
-7.064168e+00,3.129795e-29,1.727858e-14
-6.985678e+00,2.034513e-29,1.824931e-14
-6.907187e+00,1.245763e-29,3.935080e-15
-6.828696e+00,6.992228e-30,1.390816e-13
-6.750205e+00,3.369495e-30,4.601903e-12
-6.671715e+00,1.650635e-30,6.699103e-11
-6.593224e+00,1.205369e-30,7.026244e-10
-6.514733e+00,8.453992e-31,5.954852e-09
-6.436242e+00,6.908756e-31,4.245079e-08
-6.357752e+00,7.045085e-31,2.581005e-07
-6.279261e+00,7.276521e-31,1.334807e-06
