time,norm,energy
0.000000e+00,1.000000e+00,1.226916e+01
7.500000e-02,1.000000e+00,1.226916e+01
1.500000e-01,1.000000e+00,1.226916e+01
2.250000e-01,1.000000e+00,1.226916e+01
3.000000e-01,1.000000e+00,1.226916e+01
3.750000e-01,1.000000e+00,1.226916e+01
4.500000e-01,1.000000e+00,1.226916e+01
5.250000e-01,1.000000e+00,1.226916e+01
6.000000e-01,1.000000e+00,1.226916e+01
6.750000e-01,1.000000e+00,1.226916e+01
7.500000e-01,1.000000e+00,1.226916e+01
8.250000e-01,1.000000e+00,1.226916e+01
9.000000e-01,1.000000e+00,1.226916e+01
9.750000e-01,1.000000e+00,1.226916e+01
1.050000e+00,1.000000e+00,1.226916e+01
1.125000e+00,1.000000e+00,1.226916e+01
1.200000e+00,1.000000e+00,1.226916e+01
1.275000e+00,1.000000e+00,1.226916e+01
1.350000e+00,1.000000e+00,1.226916e+01
1.425000e+00,1.000000e+00,1.226916e+01
1.500000e+00,1.000000e+00,1.226916e+01
1.575000e+00,1.000000e+00,1.226916e+01
1.650000e+00,1.000000e+00,1.226916e+01
1.725000e+00,1.000000e+00,1.226916e+01
1.800000e+00,1.000000e+00,1.226916e+01
1.875000e+00,1.000000e+00,1.226916e+01
1.950000e+00,1.000000e+00,1.226916e+01
2.025000e+00,1.000000e+00,1.226916e+01
2.100000e+00,1.000000e+00,1.226916e+01
2.175000e+00,1.000000e+00,1.226916e+01
2.250000e+00,1.000000e+00,1.226916e+01
2.325000e+00,1.000000e+00,1.226916e+01
2.400000e+00,1.000000e+00,1.226916e+01
2.475000e+00,1.000000e+00,1.226916e+01
2.550000e+00,1.000000e+00,1.226916e+01
2.625000e+00,1.000000e+00,1.226916e+01
2.700000e+00,1.000000e+00,1.226916e+01
2.775000e+00,1.000000e+00,1.226916e+01
2.850000e+00,1.000000e+00,1.226916e+01
2.925000e+00,1.000000e+00,1.226916e+01
3.000000e+00,1.000000e+00,1.226916e+01
3.075000e+00,1.000000e+00,1.226916e+01
3.150000e+00,1.000000e+00,1.226916e+01
3.225000e+00,1.000000e+00,1.226916e+01
3.300000e+00,1.000000e+00,1.226916e+01
3.375000e+00,1.000000e+00,1.226916e+01
3.450000e+00,1.000000e+00,1.226916e+01
3.525000e+00,1.000000e+00,1.226916e+01
3.600000e+00,1.000000e+00,1.226916e+01
3.675000e+00,1.000000e+00,1.226916e+01
3.750000e+00,1.000000e+00,1.226916e+01
3.825000e+00,1.000000e+00,1.226916e+01
3.900000e+00,1.000000e+00,1.226916e+01
3.975000e+00,1.000000e+00,1.226916e+01
4.050000e+00,1.000000e+00,1.226916e+01
4.125000e+00,1.000000e+00,1.226916e+01
4.200000e+00,1.000000e+00,1.226916e+01
4.275000e+00,1.000000e+00,1.226916e+01
4.350000e+00,1.000000e+00,1.226916e+01
4.425000e+00,1.000000e+00,1.226916e+01
4.500000e+00,1.000000e+00,1.226916e+01
4.575000e+00,1.000000e+00,1.226916e+01
4.650000e+00,1.000000e+00,1.226916e+01
4.725000e+00,1.000000e+00,1.226916e+01
